,SCORE: total_score,complex_normalized,dG_cross,dG_cross/dSASAx100,dG_separated,dG_separated/dSASAx100,dSASA_hphobic,dSASA_int,dSASA_polar,delta_unsatHbonds,hbond_E_fraction,hbonds_int,nres_all,nres_int,packstat,per_residue_energy_int,sc_value,side1_normalized,side1_score,side2_normalized,side2_score,description,src,Phosphopeptide,norm_MFI
11,SCORE:       0.000,-0.264,-36.665,-2.039,-36.665,-2.039,1046.225,1798.507,752.282,19,0.216,8,511,85,0,-0.881,0.693,-0.942,-71.626,-0.367,-3.301,nohet_top_10_0001,pIRS2_score.sc,pIRS2,1
12,SCORE:       0.000,-0.322,-37.386,-2.176,-37.386,-2.176,984.713,1718.211,733.498,17,0.138,8,511,83,0,-1.14,0.739,-1.129,-83.539,-1.231,-11.079,nohet_top_2_0001,pIRS2_score.sc,pIRS2,1
13,SCORE:       0.000,-0.337,-46.131,-2.703,-46.131,-2.703,966.465,1706.776,740.311,11,0.242,11,511,83,0,-1.126,0.754,-1.109,-82.091,-1.261,-11.349,nohet_top_3_0001,pIRS2_score.sc,pIRS2,1
14,SCORE:       0.000,-0.314,-44.434,-2.618,-44.434,-2.618,962.127,1697.063,734.936,13,0.167,8,511,85,0,-1.081,0.753,-1.026,-77.972,-1.549,-13.941,nohet_top_4_0001,pIRS2_score.sc,pIRS2,1
15,SCORE:       0.000,-0.28,-41.447,-2.412,-41.447,-2.412,979.758,1718.61,738.852,19,0.158,7,511,85,0,-1.13,0.727,-1.134,-86.16,-1.096,-9.866,nohet_top_5_0001,pIRS2_score.sc,pIRS2,1
16,SCORE:       0.000,-0.275,-35.786,-2.085,-35.786,-2.085,1031.44,1716.226,684.786,15,0.144,7,511,86,0,-1.063,0.661,-1.022,-78.693,-1.412,-12.709,nohet_top_6_0001,pIRS2_score.sc,pIRS2,1
17,SCORE:       0.000,-0.265,-34.436,-2.005,-34.436,-2.005,978.486,1717.823,739.337,17,0.144,7,511,84,0,-1.046,0.709,-1.019,-76.459,-1.269,-11.417,nohet_top_7_0001,pIRS2_score.sc,pIRS2,1
18,SCORE:       0.000,-0.267,-38.003,-2.225,-38.003,-2.225,1008.483,1707.914,699.432,14,0.144,6,511,87,0,-1.036,0.723,-1.031,-80.402,-1.079,-9.713,nohet_top_8_0001,pIRS2_score.sc,pIRS2,1
19,SCORE:       0.000,-0.29,-42.882,-2.486,-42.882,-2.486,956.437,1724.768,768.331,10,0.191,9,511,83,0,-1.097,0.719,-1.072,-79.297,-1.308,-11.775,nohet_top_9_0001,pIRS2_score.sc,pIRS2,1
20,SCORE:       0.000,-0.348,-46.939,-2.547,-46.939,-2.547,1068.706,1842.804,774.097,12,0.162,12,511,84,0,-1.257,0.68,-1.193,-89.507,-1.783,-16.043,sep_top_1_0001,pIRS2_score.sc,pIRS2,1
21,SCORE:       0.000,-0.266,-36.578,-1.972,-36.578,-1.972,1100.995,1854.678,753.683,13,0.217,8,511,85,0,-0.889,0.68,-0.942,-71.609,-0.442,-3.978,sep_top_10_0001,pIRS2_score.sc,pIRS2,1
22,SCORE:       0.000,-0.322,-36.468,-1.98,-36.468,-1.98,1108.636,1841.541,732.905,19,0.141,8,511,83,0,-1.136,0.732,-1.123,-83.111,-1.245,-11.208,sep_top_2_0001,pIRS2_score.sc,pIRS2,1
23,SCORE:       0.000,-0.339,-45.38,-2.439,-45.38,-2.439,1047.198,1860.227,813.03,13,0.246,11,511,83,0,-1.136,0.741,-1.105,-81.769,-1.392,-12.532,sep_top_3_0001,pIRS2_score.sc,pIRS2,1
24,SCORE:       0.000,-0.312,-43.752,-2.442,-43.752,-2.442,1044.127,1791.669,747.542,7,0.17,8,511,85,0,-1.073,0.72,-1.022,-77.708,-1.501,-13.509,sep_top_4_0001,pIRS2_score.sc,pIRS2,1
25,SCORE:       0.000,-0.283,-41.999,-2.365,-41.999,-2.365,1039.196,1775.926,736.73,17,0.197,8,511,85,0,-1.148,0.724,-1.138,-86.525,-1.231,-11.082,sep_top_5_0001,pIRS2_score.sc,pIRS2,1
26,SCORE:       0.000,-0.278,-36.806,-2.03,-36.806,-2.03,1014.644,1813.034,798.39,14,0.194,8,511,86,0,-1.079,0.663,-1.029,-79.247,-1.51,-13.586,sep_top_6_0001,pIRS2_score.sc,pIRS2,1
